,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,(-0.14951430188302658-0.04180207212365137j),0j,0j,0j,(-0.03144373037374136-0.005657017590117164j),0j,(-0.05388191123695539+0.0020669321343901315j),(-0.10286977423332-0.04241764109712786j),0j,0j,0j,0j,(-0.022211779011721406-0.07217010159607123j),0j,(-0.07137931530621486-0.1463169799402956j),(0.18179375297203984+0.036710477062273386j),0j,0j,(0.10857126030430328-0.05662965058555204j),(0.03960296344724198+0.0004054919994491424j),0j,(0.005477418604821996-0.12572620634365442j),0j,0j,0j,0j,0j,0j,(-0.05180833372706173-0.024438497028529127j),0j,(0.025368935177422655+0.2514067377417212j),(0.13836689966071178-0.12252690392196822j),0j,0j,(0.03338245932317228-0.05040173470618044j),(0.026280076646101394+0.22212030875708882j),0j,(-0.0203475399908105-0.0463814652977496j),0j,0j,0j,0j,(0.021216692693782+0.05183704051243378j),(-0.16457775720576306+0.091675900491835j),0j,(-0.06211179613442672-0.0791181176148029j),0j,0j,0j,(-0.002561527614564095-0.08534770555185427j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.04076700069556474-0.15207285398061748j),0j,(0.035373970758637074+0.00033177909740373j),(0.2390085886633288-0.042703291624316256j),0j,0j,(0.09905495503957357-0.12446409462053562j),(-0.10063960804205477-0.12271274406484453j),0j,(-0.01911690149618987-0.0958887526658754j),0j,0j,0j,0j,(-0.08761959038754792+0.175180767901372j),(0.19437401171944602-0.17506888304871965j),0j,(0.2114565456891005-0.19119983552789244j),0j,0j,0j,(-0.09856966224868702+0.12504095475345162j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.011916458032731295-0.12208713762072053j),(-0.06018830803228132-0.16500866121432958j),0j,(-0.15513830718482285+0.05027625947635463j),0j,0j,0j,(-0.0052546121195337775+0.10160307527008308j),0j,0j,0j,0j,0j,0j,0j,(0.32298089532514457-0.31842747730733123j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,0j,0j,0j,0j,(0.08624925464521964-0.016219941173769153j),0j,0j,0j,(0.1023632785387131+0.22087444561192543j),0j,(0.0667597170380555+0.14381126361259183j),(0.054568988408282254-0.01217522354684188j),0j,0j,0j,0j,(0.18974904930277733+0.029277643500199596j),0j,(0.02475896632544003-0.32318594757179764j),(0.10239444298913002-0.1597733093103383j),0j,0j,(0.15307378317674425-0.044008313372434535j),(-0.0930490704655427-0.10363157067697834j),0j,(0.0018332684490810248+0.027070719597911568j),0j,0j,0j,0j,0j,0j,(0.0488240976128273+0.13061165311814515j),0j,(0.12559044770210573-0.08546351378584063j),(-0.22710018348508995+0.1303593277126088j),0j,0j,(0.14970979403953225+0.12148961352607614j),(0.1446366762619213-0.06366168587970839j),0j,(0.03986655624751324+0.19920455463451997j),0j,0j,0j,0j,(-0.022584649630715645+0.03480298732522588j),(-0.10197426689355459+0.06748259495473605j),0j,(0.026512380439159232-0.10806422827202422j),0j,0j,0j,(0.15805816848957566-0.06401345161299307j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.010604253527324067+0.09806088466307072j),0j,(-0.0985177811696562-0.15228665513800596j),(0.0857268726708352-0.174684265342943j),0j,0j,(0.06005524137809068-0.11528022906454731j),(-0.027516573075953343-0.3163678544869388j),0j,(0.13603350736576486-0.030621219868869495j),0j,0j,0j,0j,(0.0027536364242866096+0.11616040674359848j),(0.09660266385105094+0.04921426461663296j),0j,(0.12616861481999742+0.05715074174714878j),0j,0j,0j,(0.02811059954503473+0.08864205090170306j),0j,0j,0j,0j,0j,0j,0j,0j,(0.18900507822021442-0.03732742633102727j),(0.14037280944062747-0.10195303968843533j),0j,(-0.08168453256421468+0.08582808725898772j),0j,0j,0j,(-0.1041407890529065+0.046120548336367556j),0j,0j,0j,0j,0j,0j,0j,(-0.14558489844073466+0.15002900472377004j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,0j,0j,0j,0j,(-0.1732080818537466-0.0601501026323425j),0j,0j,0j,(-0.014579518204298385-0.03606670319956853j),0j,(-0.09278356238603103-0.004557618500689677j),(-0.11683932918923533-0.061394225939496366j),0j,0j,0j,0j,(-0.03187348536064167+0.06366262968947656j),0j,(-0.12437407610616014-0.1764062404229821j),(0.13269089629198622+0.0007575030198142124j),0j,0j,(-0.2591206251790552+0.007035563064312383j),(0.12214587267323666+0.029947650978149956j),0j,(-0.2028781242678654+0.04999925987443593j),0j,0j,0j,0j,0j,0j,(-0.15056780432205394-0.13248759758104167j),0j,(-0.0014277287839343442+0.031128416360210596j),(0.3213521407749454-0.08045887039091257j),0j,0j,(-0.0004241131882710171-0.06083117453510113j),(-0.07043531977577604-0.07070966842239731j),0j,(-0.052254988886937775-0.1180419342383538j),0j,0j,0j,0j,(-0.17807831400435803+0.06207839899784987j),(-0.12257516733091679+0.0007296570906182229j),0j,(-0.07384203151621224+0.030269113447720698j),0j,0j,0j,(0.14651758636939316+0.020422638684407662j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.18824166186283742+0.04523829729978564j),0j,(0.18891551417910157-0.06381644076242153j),(0.2399233122923145+0.05353212473990218j),0j,0j,(-0.29545227972981286+0.033414037870625385j),(-0.1493949422037229-0.18014843714446838j),0j,(-0.04476975979553447+0.029310540801850728j),0j,0j,0j,0j,(0.24445215305695933-0.013573161219582741j),(0.11369073347797537-0.07132325523194108j),0j,(0.10509415065724212-0.08240533227599668j),0j,0j,0j,(0.139250097613002-0.06015894254441071j),0j,0j,0j,0j,0j,0j,0j,0j,(0.14433131439549424-0.01048630630435926j),(-0.0677588145526407-0.04229930949188561j),0j,(0.010761658751189973-0.027712431469778746j),0j,0j,0j,(-0.15443119723925322+0.04203447618989437j),0j,0j,0j,0j,0j,0j,0j,(-0.11913212982496789+0.11067591955379746j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
10.0,0j,0j,0j,0j,0j,0j,0j,(0.13721842550738608-0.051853792107638096j),0j,0j,0j,(-0.18815708230895195+0.2939835026863397j),0j,(-0.08736304162740449+0.24723217380910753j),(0.11257584034496797-0.06147013248267054j),0j,0j,0j,0j,(0.048452762903324655+0.13447927322287365j),0j,(0.25654695254449794-0.09506158352891927j),(0.17378808012801597-0.027232043221114548j),0j,0j,(-0.11538516049804162-0.12388653304025457j),(0.05901847446226853-0.007828475931717153j),0j,(0.17855376716086774+0.03887044619530316j),0j,0j,0j,0j,0j,0j,(0.047857546058374+0.0274447887590763j),0j,(-0.03621537472799613-0.03130595907704057j),(0.09515471553863798+0.09189015011389678j),0j,0j,(0.025426557521457338-0.23262772072118906j),(-0.04486460394119387-0.025358096219328646j),0j,(-0.009350429922217376+0.06648786712831832j),0j,0j,0j,0j,(0.016686889043962254+0.04226565131038535j),(0.15853877526638605+0.006505157596872084j),0j,(-0.0067537562761136455-0.10329938321434733j),0j,0j,0j,(-0.07752764286644588-0.11895115036511748j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0023690994927927436+0.10834136445047639j),0j,(0.26968215196588463-0.08467088982270557j),(0.05767623152289883-0.10406466152599432j),0j,0j,(0.026437182412795475-0.023958622630841635j),(0.2981709908175541-0.17351284258289273j),0j,(0.07720017188834546+0.07743547336664697j),0j,0j,0j,0j,(0.08737226705143802+0.0031294116461927854j),(-0.1525278300564155+0.037934507046293295j),0j,(-0.10736234817012763+0.024817735447742618j),0j,0j,0j,(0.1648594313734289-0.005101253724043096j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.06914462244564742-0.1703489100926333j),(-0.02732399079011776-0.028885762869046913j),0j,(0.08907303026476153+0.04900325538992605j),0j,0j,0j,(0.015474668465940603+0.02125114907263683j),0j,0j,0j,0j,0j,0j,0j,(0.2758869817808932-0.0669739592773319j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
12.5,0j,0j,0j,0j,0j,0j,0j,(-0.0982986229036713+0.048017215421146356j),0j,0j,0j,(-0.020740946251392105+0.12181420681564696j),0j,(-0.10523891856541875+0.1187947262261096j),(-0.007131366039115697-0.05111317379452836j),0j,0j,0j,0j,(0.08367666163807273-0.1257578750390185j),0j,(0.16084467002196481+0.22964087661849508j),(-0.1524537379074446-0.020696929949641715j),0j,0j,(0.050492559749975734+0.057629372372933856j),(0.007636008907143577-0.03152267496377183j),0j,(-0.022513768956578136-0.040875483970874614j),0j,0j,0j,0j,0j,0j,(0.10551503549808888+0.1654527397722474j),0j,(-0.185258614942615+0.011750568666164446j),(0.022995549109203584-0.028314915008251153j),0j,0j,(0.10147995068778382+0.09126017198396166j),(-0.4005618773214209+0.1607361865930393j),0j,(0.1540504537341838+0.05128235798252663j),0j,0j,0j,0j,(-0.15232007692650074+0.1416711129551892j),(0.04253225439371991+0.0489418510169071j),0j,(0.05401730259168338+0.08347215871673451j),0j,0j,0j,(0.03653263926560644+0.06868461970478093j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.019842225043049215-0.04006714421593953j),0j,(-0.06532166451927468-0.1058332066835587j),(0.02892909612720751-0.248380994658215j),0j,0j,(0.07524397069422484+0.1556669182312096j),(0.16241879799217324+0.18261609481826638j),0j,(0.04189299809515319-0.10682471727502246j),0j,0j,0j,0j,(0.023064994384453884+0.0242903895633731j),(0.23577919556734492-0.0563788363566675j),0j,(0.22542906575795915-0.037141791556583675j),0j,0j,0j,(-0.04487609135963376+0.09220935145033815j),0j,0j,0j,0j,0j,0j,0j,0j,(0.02749540523994048+0.05349449447090558j),(0.03215841416068651+0.05098355409927594j),0j,(0.06198948774017522-0.05892464774440298j),0j,0j,0j,(-0.23434421178966935+0.19513529701563292j),0j,0j,0j,0j,0j,0j,0j,(0.08006016797716295-0.14956673048915525j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15.0,0j,0j,0j,0j,0j,0j,0j,(0.1112434709150032+0.07187133222796833j),0j,0j,0j,(0.09211917156318152+0.0521456034881513j),0j,(-0.035687199984197164-0.11105066742411863j),(0.09040451618220113+0.10471010560422504j),0j,0j,0j,0j,(0.02422417037121427+0.21590567620688944j),0j,(0.03882724260092167-0.06515819986877566j),(-0.1304164771085562-0.007413432332433675j),0j,0j,(0.08307923092217898+0.18444566649988256j),(0.17423932089392113+0.015166907222928988j),0j,(-0.0959938845483902-0.0790791776451839j),0j,0j,0j,0j,0j,0j,(0.07881624477040557+0.06177546266959827j),0j,(-0.06859050286784776+0.03415067946068272j),(0.07533471913258918-0.10393836763963335j),0j,0j,(0.3788160759241026+0.28663960242472797j),(-0.004227749218549064-0.0041540236806534335j),0j,(0.10548253764018663+0.12888816149370033j),0j,0j,0j,0j,(-0.016317943253720796+0.04342625456643301j),(-0.2920799703567408-0.11331471211904094j),0j,(-0.16379337483740067+0.10566749677349759j),0j,0j,0j,(0.08044407600150152+0.11747515144942623j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05617275949591314+0.12261078980859323j),0j,(-0.04906486318591103-0.14513396935318523j),(-0.06902155600845511+0.07526822413547984j),0j,0j,(-0.1372859714754411+0.05206042888262999j),(-0.015147014457705962-0.040345466875301404j),0j,(-0.023826283223641193+0.1292944851664952j),0j,0j,0j,0j,(-0.1537568697489929+0.04536595980273516j),(-0.16053868303918872+0.025857180073954864j),0j,(-0.2000458240091677-0.0287962613547134j),0j,0j,0j,(-0.11167355640691388+0.009065712616241402j),0j,0j,0j,0j,0j,0j,0j,0j,(0.0352050669479429+0.20831509541516902j),(-0.12398602530110467+0.08756851829478994j),0j,(-0.2251999264163983-0.05405624553002199j),0j,0j,0j,(-0.1244926359084638+0.04365473334864303j),0j,0j,0j,0j,0j,0j,0j,(-0.0042003242050014005+0.008010322239314542j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
17.5,0j,0j,0j,0j,0j,0j,0j,(0.006720412448829057+0.01210084484019763j),0j,0j,0j,(0.11897124859126891+0.08904631247361448j),0j,(-0.058134804567776685+0.21020658056855035j),(0.11750545718835036-0.08897383182977397j),0j,0j,0j,0j,(-0.12462761386503343-0.06900544942144834j),0j,(-0.04563255371991662-0.013784838968104621j),(0.1774244180255487-0.06036512323533651j),0j,0j,(0.13882115936352335-0.17910072349236944j),(0.0922797691646638+0.084423471711624j),0j,(-0.00960958467310423-0.08243914911900728j),0j,0j,0j,0j,0j,0j,(-0.057909106232808816+0.03608667067207599j),0j,(0.19836229465016966-0.03436212193171949j),(0.10532583275749985+0.16878502272533966j),0j,0j,(0.07186470709750524+0.04652752078650292j),(-0.0952937850959593+0.02757057591195489j),0j,(0.12798543441890037-0.16203138145539595j),0j,0j,0j,0j,(0.11083249231167298+0.04411434924050553j),(-0.11484822170642746+0.1869262987448016j),0j,(-0.00795614953265917+0.07912735769566207j),0j,0j,0j,(0.07344109757346938+0.22947322702221967j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.008748217627945106+0.021852722218330452j),0j,(0.15525103197533918+0.007502569525572253j),(0.3260478479344231-0.22313073220458673j),0j,0j,(-0.0077268031114117175-0.20861694343943754j),(-0.031441224690760765-0.014456350969223262j),0j,(-0.1489281567756593-0.07790410744234326j),0j,0j,0j,0j,(0.1050859488188655+0.1509903007072615j),(0.1446299672210231-0.15292633125747454j),0j,(0.08148909285411159-0.1880069060347315j),0j,0j,0j,(-0.09478457998633825+0.06524624313040589j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.017493236665938217+0.2207136264045205j),(-0.058288628998904836+0.09483760785743808j),0j,(0.03287728052789754+0.09566065702213593j),0j,0j,0j,(0.1014194786949199+0.09442327729355475j),0j,0j,0j,0j,0j,0j,0j,(0.023247659548218544-0.16420243411215127j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
20.0,0j,0j,0j,0j,0j,0j,0j,(-0.03597470576069022-0.0890510035531254j),0j,0j,0j,(0.339223749618423+0.1782673102829892j),0j,(0.11774842833912064+0.11841691911127158j),(-0.05147823594221866-0.07872457201511689j),0j,0j,0j,0j,(0.2569828095349977-0.08039804591413723j),0j,(0.05543029132733376-0.009017160812008873j),(0.06310769597535155-0.06637899037334968j),0j,0j,(0.05376811330690255-0.12564142731709974j),(0.15777425631619255+0.2003949248585391j),0j,(-0.08853219342111468-0.053535576557973884j),0j,0j,0j,0j,0j,0j,(0.046305332728453906-0.12094697523756322j),0j,(-0.052245710424691574+0.0013670691808822075j),(0.06857326311543151+0.10837947121480897j),0j,0j,(0.26666195588432334+0.1510425248914979j),(0.006568467101094803-0.04631335439679162j),0j,(0.24541386818965036+0.012192566935787874j),0j,0j,0j,0j,(-0.01061546463448862+0.04593455290965221j),(0.1004959439202508+0.13638876049420134j),0j,(-0.062453355539366484-0.054995582440517596j),0j,0j,0j,(-0.0653957217535812-0.19663613814294223j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12097492497112376+0.14330315314832823j),0j,(-0.08565009811722962-0.03665065377059344j),(-0.08364701333212954+0.07934108304888621j),0j,0j,(-0.19822050420911091-0.196354921942188j),(0.07652172844440608+0.00038309792745186335j),0j,(0.19340830887285684-0.05519853966109178j),0j,0j,0j,0j,(-0.07918781308656946-0.010428832587271147j),(0.007975039699654714+0.06049086444452427j),0j,(-0.06424189884932735-0.00019657314719156212j),0j,0j,0j,(-0.0051515607431676805-0.04765508862011586j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.05266775373822674-0.21686265973955454j),(-0.009240348084954697+0.03283665016240037j),0j,(0.14273014751523505+0.2357691315144885j),0j,0j,0j,(-0.077728822988651+0.10852580057546285j),0j,0j,0j,0j,0j,0j,0j,(0.06818303156570697+0.09088992864533335j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
22.5,0j,0j,0j,0j,0j,0j,0j,(0.06615234073095426-0.03837696061498988j),0j,0j,0j,(0.012214419354013632+0.0049683718421622315j),0j,(0.04235654380051334+0.03740555841598574j),(0.18459678417246153+0.035650993316145754j),0j,0j,0j,0j,(-0.16053553602040593+0.07748679423293278j),0j,(-0.06607373913956832-0.171107994426216j),(0.14753246567120074-0.020228738739543263j),0j,0j,(-0.03622287975436999+0.11244114073703444j),(0.12198224278822534+0.08082301991176019j),0j,(0.060205693662072374+0.03514090623455605j),0j,0j,0j,0j,0j,0j,(-0.1750493045033899-0.236678945316891j),0j,(-0.054084292810009774+0.29716504874148153j),(0.22892898004167783+0.08735899890072815j),0j,0j,(0.08157119017098949-0.07738061543914816j),(-0.12929197489809657-0.03828504362013172j),0j,(0.1057151031900235-0.054751098431995916j),0j,0j,0j,0j,(0.16413270352441867+0.15130528801522006j),(-0.07971518741060382-0.0899674229324562j),0j,(0.08079891892463953-0.09769149673051054j),0j,0j,0j,(0.19958158819751495-0.08437412714608039j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.04140406689265192+0.04153872052120061j),0j,(0.25722625367220137-0.026116080195874303j),(0.18331413904531085+0.25260403606164034j),0j,0j,(-0.034747013825402906-0.060969882813354595j),(-0.07415025845235727-0.16321818089838339j),0j,(-0.034067878744839325+0.06892239462282682j),0j,0j,0j,0j,(0.007541085048868603-0.014266971548890334j),(0.12024351255067958+0.09617263895621933j),0j,(0.13082914193563452-0.013359746962202532j),0j,0j,0j,(0.03185233075690592-0.1522941674968457j),0j,0j,0j,0j,0j,0j,0j,0j,(0.18524212777019078-0.13752760205667106j),(0.12541238769713745-0.12289914664094737j),0j,(0.0720643454791156+0.021072766280751873j),0j,0j,0j,(0.055478820874110886+0.030644927628819037j),0j,0j,0j,0j,0j,0j,0j,(-0.21275732914019507-0.04749460972794826j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
